FECHA,COMB. GANADORA,,,,,,COMP.,R.
31/12/2012,04,06,16,25,32,47,11,1
28/12/2012,13,31,33,35,41,46,21,3
26/12/2012,04,21,22,33,34,47,05,4
25/12/2012,13,24,29,39,46,49,27,7
24/12/2012,16,26,31,32,39,43,23,2
21/12/2012,02,06,15,19,42,44,17,3
19/12/2012,02,26,36,37,41,43,23,8
18/12/2012,11,25,27,31,34,40,15,9
17/12/2012,07,22,23,27,35,39,16,8
14/12/2012,02,10,13,28,35,44,33,1
12/12/2012,01,10,12,23,30,43,29,2
11/12/2012,02,09,13,20,25,31,06,7
10/12/2012,06,11,17,20,34,46,26,7
7/12/2012,09,11,21,28,36,44,41,9
5/12/2012,04,09,10,19,21,34,33,7
4/12/2012,02,03,06,12,16,49,36,7
3/12/2012,04,06,16,30,33,35,24,4
30/11/2012,03,08,11,23,33,39,47,7
28/11/2012,09,16,21,34,37,41,13,6
27/11/2012,10,14,16,17,31,49,34,7
26/11/2012,19,25,28,31,34,36,21,7
23/11/2012,04,16,31,40,45,46,13,0
21/11/2012,07,12,19,26,41,49,28,0
20/11/2012,11,23,29,32,35,48,12,4
19/11/2012,03,20,23,30,32,49,38,2
16/11/2012,03,14,33,35,45,46,02,0
14/11/2012,15,18,24,27,31,47,02,6
13/11/2012,03,10,20,36,47,48,21,7
12/11/2012,27,31,34,37,44,48,39,6
9/11/2012,06,09,16,26,28,43,32,1
7/11/2012,21,26,27,38,45,48,06,3
6/11/2012,07,09,14,31,33,49,43,5
5/11/2012,07,27,33,35,42,48,25,0
2/11/2012,24,30,32,36,43,49,21,7
31/10/2012,02,07,14,15,31,47,35,2
30/10/2012,01,03,17,19,21,45,41,1
29/10/2012,05,10,12,16,27,40,07,1
26/10/2012,10,20,22,36,41,43,33,2
24/10/2012,06,08,10,11,15,21,24,8
23/10/2012,07,08,10,28,35,40,03,4
22/10/2012,16,19,20,32,42,44,40,2
19/10/2012,02,03,20,23,44,47,25,2
17/10/2012,06,16,22,35,46,48,42,0
16/10/2012,01,02,14,21,38,47,22,3
15/10/2012,04,12,14,21,33,34,25,6
12/10/2012,07,08,17,18,36,43,39,5
10/10/2012,14,23,25,26,43,44,24,5
9/10/2012,02,08,19,28,40,47,33,2
8/10/2012,12,22,24,37,39,47,16,5
5/10/2012,06,12,18,36,43,48,08,9
3/10/2012,06,14,16,24,27,29,44,8
2/10/2012,15,36,38,40,43,47,17,3
1/10/2012,11,18,27,32,35,43,08,9
28/09/2012,03,15,24,26,36,42,35,1
26/09/2012,07,09,10,13,20,26,24,8
25/09/2012,02,06,21,28,31,47,10,9
24/09/2012,03,04,29,30,39,40,18,2
21/09/2012,11,16,23,37,41,44,42,5
19/09/2012,04,09,33,38,46,48,16,9
18/09/2012,08,14,20,25,32,48,27,5
17/09/2012,03,16,19,23,27,41,24,9
14/09/2012,06,12,17,19,24,25,29,0
12/09/2012,03,10,13,14,35,41,49,7
11/09/2012,08,09,14,22,31,42,28,8
10/09/2012,04,14,16,37,39,42,25,3
7/09/2012,17,20,31,38,39,41,42,6
5/09/2012,02,04,11,19,41,49,35,0
4/09/2012,08,10,14,17,32,42,49,5
3/09/2012,10,16,18,20,33,37,17,1
31/08/2012,18,21,27,36,39,46,20,2
29/08/2012,09,17,18,28,29,38,45,8
28/08/2012,12,19,34,36,39,46,22,2
27/08/2012,17,25,31,38,40,49,28,9
24/08/2012,10,13,22,39,45,47,40,3
22/08/2012,02,03,04,12,17,41,10,7
21/08/2012,03,12,23,28,42,48,25,7
20/08/2012,15,18,25,31,32,38,09,5
17/08/2012,01,05,16,21,23,27,03,1
15/08/2012,02,10,11,13,18,25,45,2
14/08/2012,01,09,34,35,36,39,26,5
13/08/2012,10,14,16,24,26,36,33,9
10/08/2012,07,08,11,23,35,38,10,6
8/08/2012,12,14,26,28,41,49,30,6
7/08/2012,12,17,18,19,22,23,42,4
6/08/2012,12,16,28,30,39,48,29,8
3/08/2012,01,05,19,38,39,44,36,0
1/08/2012,12,16,22,24,32,39,03,8
31/07/2012,04,10,13,33,41,49,27,5
30/07/2012,01,13,14,40,43,48,08,4
27/07/2012,13,17,27,36,46,47,43,5
25/07/2012,05,06,07,09,17,49,20,2
24/07/2012,05,15,16,28,29,30,12,9
23/07/2012,11,15,21,30,44,47,23,4
20/07/2012,01,04,11,31,33,41,47,8
18/07/2012,03,25,37,42,43,45,44,1
17/07/2012,13,14,26,31,35,40,07,7
16/07/2012,06,21,29,31,40,47,48,9
13/07/2012,04,13,14,15,38,40,20,4
11/07/2012,08,11,16,22,23,41,33,6
10/07/2012,05,07,14,26,39,44,20,7
9/07/2012,01,04,25,30,35,47,41,6
6/07/2012,03,08,12,15,35,44,48,3
4/07/2012,05,07,13,16,22,46,14,2
3/07/2012,03,04,15,27,31,36,44,1
2/07/2012,01,05,27,39,48,49,15,3
29/06/2012,11,16,25,41,43,47,28,0
27/06/2012,06,26,32,33,38,45,44,8
26/06/2012,02,04,08,32,38,45,16,7
25/06/2012,06,07,26,27,32,44,49,1
22/06/2012,02,17,19,21,23,40,03,5
20/06/2012,03,18,19,21,32,44,36,2
19/06/2012,03,09,29,36,42,44,18,3
18/06/2012,01,03,08,19,32,33,26,1
15/06/2012,11,15,17,32,42,46,25,1
13/06/2012,06,14,24,32,37,41,46,5
12/06/2012,05,24,37,39,42,48,25,1
11/06/2012,02,08,11,15,34,44,19,5
8/06/2012,06,13,21,25,45,48,43,9
6/06/2012,19,22,28,30,37,45,06,0
5/06/2012,08,10,20,21,27,35,47,3
4/06/2012,05,11,18,24,28,32,08,5
1/06/2012,02,11,14,15,30,34,37,3
30/05/2012,10,21,24,34,41,47,42,6
29/05/2012,09,24,35,36,39,41,34,0
28/05/2012,04,06,10,15,18,44,45,0
